day,wind_spread,wind_mean,t2m_spread,n_valid_times,lear_mae
2023-01-19 00:00:00+00:00,0.2604,4.4116,0.1961,8,21.7166
2023-01-20 00:00:00+00:00,0.1945,2.6937,0.2077,8,34.8534
2023-01-21 00:00:00+00:00,0.2615,4.2305,0.1296,8,41.8512
2023-01-22 00:00:00+00:00,0.2163,4.0653,0.1139,8,45.1093
2023-01-23 00:00:00+00:00,0.1613,3.0668,0.1386,8,21.5438
2023-01-24 00:00:00+00:00,0.103,3.0334,0.2643,8,27.4381
2023-01-25 00:00:00+00:00,0.1055,3.1993,0.2457,8,11.941
2023-01-26 00:00:00+00:00,0.1731,2.9873,0.2232,8,21.298
2023-01-27 00:00:00+00:00,0.1631,3.5519,0.1078,8,16.0806
2023-01-28 00:00:00+00:00,0.1099,3.2378,0.242,8,17.0105
2023-01-29 00:00:00+00:00,0.1418,4.4127,0.2144,8,44.0833
2023-01-30 00:00:00+00:00,0.4003,7.906,0.2622,8,16.7475
2023-01-31 00:00:00+00:00,0.4241,7.0862,0.3145,8,18.5561
2023-02-01 00:00:00+00:00,0.4543,8.1434,0.2553,8,18.7765
2023-02-02 00:00:00+00:00,0.3081,5.6556,0.2179,8,24.0692
2023-02-03 00:00:00+00:00,0.4308,7.3192,0.1962,8,57.7637
2023-02-04 00:00:00+00:00,0.3548,3.752,0.4149,8,22.1102
2023-02-05 00:00:00+00:00,0.4511,3.6421,0.3447,8,21.9346
2023-02-06 00:00:00+00:00,0.2207,2.5132,0.2969,8,52.4994
2023-02-07 00:00:00+00:00,0.0968,2.8482,0.1658,8,10.0965
2023-02-08 00:00:00+00:00,0.1415,3.5088,0.174,8,16.0114
2023-02-09 00:00:00+00:00,0.1943,4.308,0.1964,8,16.3535
2023-02-10 00:00:00+00:00,0.2383,4.5197,0.2098,8,14.5789
2023-02-11 00:00:00+00:00,0.2367,5.1618,0.2282,8,16.4423
2023-02-12 00:00:00+00:00,0.1198,2.8473,0.154,8,25.6407
2023-02-13 00:00:00+00:00,0.0954,2.7983,0.1841,8,26.7844
2023-02-14 00:00:00+00:00,0.0699,2.0063,0.2298,8,11.7927
2023-02-15 00:00:00+00:00,0.1071,2.5741,0.1495,8,27.1713
2023-02-16 00:00:00+00:00,0.1676,3.8088,0.1625,8,16.0457
2023-02-17 00:00:00+00:00,0.4398,6.9003,0.2102,8,24.8047
2023-02-18 00:00:00+00:00,0.3559,6.4463,0.2103,8,76.1178
2023-02-19 00:00:00+00:00,0.3082,5.0494,0.2092,8,11.6762
