day,wind100_spread,wind100_mean,wind10_spread,wind10_mean,ssrd_spread,ssrd_mean,t2m_spread,n_valid_times,lear_mae
2024-03-20 00:00:00+00:00,0.2608,3.1171,0.1458,1.882,50645.8123,1.5443174e+06,0.2152,8,7.8774
2024-03-21 00:00:00+00:00,0.465,5.0046,0.3057,3.0192,85481.148,1.3420005e+06,0.3031,8,5.1458
2024-03-22 00:00:00+00:00,0.3513,6.4126,0.2292,3.9711,50207.014,1.2398039e+06,0.2517,8,6.5388
2024-03-23 00:00:00+00:00,0.5514,7.8719,0.3984,5.1033,53040.3594,1.4052394e+06,0.3485,8,14.3377
2024-03-24 00:00:00+00:00,0.5013,8.7264,0.3315,5.7148,51908.43,1.2212938e+06,0.2754,8,12.959
2024-03-25 00:00:00+00:00,0.2983,5.4247,0.1883,3.4518,34866.5271,1.6761522e+06,0.2095,8,8.229
2024-03-26 00:00:00+00:00,0.3781,6.8323,0.2372,4.0652,52545.3999,1.9762545e+06,0.3165,8,7.715
2024-03-27 00:00:00+00:00,0.398,6.56,0.25,3.9375,74065.251,1.5606645e+06,0.3714,8,4.8778
2024-03-28 00:00:00+00:00,0.633,8.132,0.4271,5.0646,78764.7388,1.3231595e+06,0.3261,8,7.7808
2024-03-29 00:00:00+00:00,0.5824,8.1429,0.3773,4.8644,84770.6257,1.2745476e+06,0.5843,8,7.4506
2024-03-30 00:00:00+00:00,0.5126,6.3092,0.2951,3.5734,63138.1025,1.791601e+06,0.3419,8,14.6416
2024-03-31 00:00:00+00:00,0.3097,4.7949,0.1763,2.7957,60623.2949,1.6924688e+06,0.2091,8,12.8977
2024-04-01 00:00:00+00:00,0.635,6.7579,0.397,4.0634,55849.3266,1.1097204e+06,0.2358,8,11.9958
2024-04-02 00:00:00+00:00,0.6127,9.3305,0.4126,6.0151,82583.8747,1.5319776e+06,0.2552,8,9.6366
2024-04-03 00:00:00+00:00,0.4996,6.767,0.3306,4.3196,69561.1778,1.0340916e+06,0.2591,8,6.5183
2024-04-04 00:00:00+00:00,0.4289,8.4337,0.2902,5.2899,65660.7453,1.0741339e+06,0.196,8,11.0708
2024-04-05 00:00:00+00:00,0.3874,8.0732,0.2562,4.9419,69884.3624,1.4483178e+06,0.2324,8,16.8853
2024-04-06 00:00:00+00:00,0.2918,6.9599,0.1678,4.096,53634.5788,2.2498182e+06,0.2349,8,12.2502
2024-04-07 00:00:00+00:00,0.3224,6.7969,0.2041,4.0622,61863.7761,2.1587185e+06,0.3073,8,13.7646
2024-04-08 00:00:00+00:00,0.2902,4.8568,0.1623,2.779,55016.2412,2.1481312e+06,0.244,8,8.9035
2024-04-09 00:00:00+00:00,0.598,7.6799,0.3836,4.8072,70204.4138,1.6100012e+06,0.484,8,8.0838
2024-04-10 00:00:00+00:00,0.4716,7.1203,0.3255,4.6894,109101.7369,1.7078618e+06,0.3227,8,11.7471
2024-04-11 00:00:00+00:00,0.2897,6.2827,0.1802,3.9701,74744.2535,1.7819474e+06,0.2809,8,22.0713
2024-04-12 00:00:00+00:00,0.2725,6.063,0.1746,3.8059,77907.3268,1.8049091e+06,0.2363,8,11.8047
2024-04-13 00:00:00+00:00,0.3465,6.7899,0.2327,4.1772,62646.2341,2.2510568e+06,0.2588,8,20.0187
2024-04-14 00:00:00+00:00,0.5122,7.5561,0.3499,4.9318,86045.5334,2.333436e+06,0.4873,8,32.139
2024-04-15 00:00:00+00:00,0.5839,7.5706,0.3929,5.013,71705.5694,1.6207076e+06,0.3717,8,14.14
2024-04-16 00:00:00+00:00,0.7232,8.4959,0.4718,5.6718,63956.007,1.6603645e+06,0.2957,8,5.3715
2024-04-17 00:00:00+00:00,0.324,4.9807,0.2144,3.2843,72323.6571,1.8854486e+06,0.1874,8,10.2769
2024-04-18 00:00:00+00:00,0.2454,4.7416,0.16,3.1352,79004.1515,2.0461522e+06,0.2087,8,10.0731
2024-04-19 00:00:00+00:00,0.4408,8.4755,0.2818,5.599,49120.4212,1.1576072e+06,0.1759,8,8.5963
2024-04-20 00:00:00+00:00,0.4269,6.7633,0.2819,4.5678,58608.4824,1.8208314e+06,0.3094,8,6.4437
2024-04-21 00:00:00+00:00,0.2898,5.225,0.203,3.4956,60675.9265,2.2159402e+06,0.3049,8,5.0716
2024-04-22 00:00:00+00:00,0.2989,4.6538,0.2085,3.0547,100962.3835,2.0947729e+06,0.3968,8,9.6037
2024-04-23 00:00:00+00:00,0.2675,4.6289,0.175,3.074,102869.4733,1.8504462e+06,0.3154,8,8.3113
2024-04-24 00:00:00+00:00,0.3091,5.3925,0.2088,3.6215,52186.8083,1.902508e+06,0.2056,8,7.3749
2024-04-25 00:00:00+00:00,0.2717,4.7625,0.1767,3.1154,65615.1254,2.0003151e+06,0.2535,8,10.2813
2024-04-26 00:00:00+00:00,0.2811,4.7416,0.178,2.9213,51966.8287,2.0870326e+06,0.2523,8,5.2165
2024-04-27 00:00:00+00:00,0.2655,5.3156,0.1536,3.1332,83409.161,2.578819e+06,0.1855,8,19.9322
2024-04-28 00:00:00+00:00,0.3129,7.3625,0.1968,4.3942,61126.2918,2.2920588e+06,0.2891,8,10.8259
2024-04-29 00:00:00+00:00,0.2859,4.353,0.1692,2.6115,91029.7235,2.5178778e+06,0.2236,8,14.0342
2024-04-30 00:00:00+00:00,0.333,5.9709,0.191,3.4932,73902.3079,2.7557988e+06,0.2189,8,7.0258
2024-05-01 00:00:00+00:00,0.3978,7.4625,0.2426,4.4728,60736.6,2.891693e+06,0.2442,8,16.0588
2024-05-02 00:00:00+00:00,0.3461,8.247,0.2161,5.0934,73761.1603,2.5268835e+06,0.2547,8,12.4548
2024-05-03 00:00:00+00:00,0.3661,6.7963,0.223,4.3066,73532.0927,1.8943215e+06,0.1953,8,6.3546
2024-05-04 00:00:00+00:00,0.4238,3.8846,0.2608,2.399,124437.6639,2.2047748e+06,0.3347,8,10.8241
2024-05-05 00:00:00+00:00,0.2858,5.1904,0.1785,3.2472,48600.6956,2.041734e+06,0.1806,8,8.707
2024-05-06 00:00:00+00:00,0.2252,4.3621,0.1471,2.7084,80565.4544,2.0551815e+06,0.172,8,11.4423
2024-05-07 00:00:00+00:00,0.2459,4.4882,0.1593,2.8733,98967.8459,1.949561e+06,0.2041,8,5.7045
2024-05-08 00:00:00+00:00,0.2147,3.9503,0.1262,2.4393,112471.7353,2.3385882e+06,0.2375,8,6.9424
2024-05-09 00:00:00+00:00,0.2106,3.7893,0.1292,2.3007,147937.4788,2.6842752e+06,0.2819,8,11.9225
2024-05-10 00:00:00+00:00,0.1918,3.6601,0.1195,2.276,173142.5551,2.5910012e+06,0.2795,8,19.9954
2024-05-11 00:00:00+00:00,0.1857,3.8199,0.1136,2.3191,96964.99,2.849369e+06,0.2191,8,14.9569
